Zulässige Höchstgeschwindigkeit (20),0
Vorfahrt,12
Kreisverkehr,40
"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",42
Fußgänger,27
Gefahrenstelle,18
Einmalige Vorfahrt,11
Zulässige Höchstgeschwindigkeit (30),1
Fahrradfahrer,29
"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",16
Zulässige Höchstgeschwindigkeit (50),2
Zulässige Höchstgeschwindigkeit (120),8
Ausschließlich rechts,33
Baustelle,25
Ende der Geschwindigkeitsbegrenzung (80),6
Stoppschild,14
Unebene Fahrbahn,22
Kurve (links),19
Ende aller Streckenverbote,32
Kurve (rechts),20
Doppelkurve (zunächst links),21
Zulässige Höchstgeschwindigkeit (70),4
Wildwechsel,31
Ausschließlich geradeaus,35
"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",10
Verbot der Einfahrt,17
Vorfahrt gewähren,13
Überholverbot für Kraftfahrzeuge aller Art,9
Schleudergefahr bei Nässe oder Schmutz,23
Verbot für Fahrzeuge aller Art,15
Zulässige Höchstgeschwindigkeit (60),3
Zulässige Höchstgeschwindigkeit (100),7
Rechts vorbei,38
Zulässige Höchstgeschwindigkeit (80),5
Ende des Überholverbotes für Kraftfahrzeuge aller Art,41
!!!Verengung der Fahrbahn,24
!!!Ampel,26
!!!Kinder,28
!!!Schneefall,30
!!!Ausschließlich links,34
!!!Geradeaus oder rechts,36
!!!Geradeaus oder links,37
!!!links vorbei,39
